brightness,contrast,blur_score,edge_density,num_objects,green_ratio,color_entropy,wall_floor_ratio,light_uniformity,num_windows,defect_score,furniture_count,furniture_density,aesthetic_score,low_light_defect_interaction,visual_complexity,clutter_score,log_furniture_density,is_wet_room,is_outdoor,location,scene_category,__description_text__,repair_cost_target
0.5195,0.2255,1.0,0.2496,0.0,0.0683,0.1904,2.3186,0.5659,2.0,0.0319,0.0,0.0,0.3647,0.01384779,0.047523840000000005,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,100279.1
0.3589,0.258,1.0,0.1927,2.0,0.0098,0.1873,2.3186,0.281,3.0,0.1113,1.0,5.3333,0.306,0.08002469999999999,0.03609271,3.0,1.8458214273265856,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,150283.63
0.4591,0.3703,1.0,0.098,1.0,0.1583,0.1325,2.3186,0.1934,0.0,0.0209,0.0,0.0,0.3799,0.01685794,0.012985000000000002,1.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,99959.31
0.4668,0.182,1.0,0.168,10.0,0.0202,0.2146,2.33,0.6101,0.0,0.0653,0.0,0.0,0.3552,0.02546047,0.0360528,10.0,0.0,0.0,1.0,backyard,pavilion,room_type=backyard; scene=pavilion; condition=medium defects; lighting=acceptable lighting; clutter=high clutter; furnishing=minimal furniture,111099.74
0.4426,0.2856,1.0,0.1504,5.0,0.0268,0.2086,2.3186,0.3548,2.0,0.0589,3.0,15.9999,0.3496,0.03800228,0.03137344,8.0,2.8332074616859737,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=medium defects; lighting=poor lighting; clutter=moderate clutter; furnishing=average furniture,126009.85
0.5732,0.2824,1.0,0.1506,0.0,0.0696,0.1789,2.33,0.5073,0.0,0.0624,0.0,0.0,0.4061,0.03074448,0.026942340000000002,0.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,81183.65
0.5439,0.236,1.0,0.1178,0.0,0.0747,0.1918,2.33,0.5661,3.0,0.0468,0.0,0.0,0.4015,0.020306519999999998,0.02259404,0.0,0.0,0.0,1.0,backyard,porch,room_type=backyard; scene=porch; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,89523.35
0.3273,0.2051,1.0,0.32,6.0,0.1417,0.212,2.33,0.3733,1.0,0.2787,5.0,30.0298,0.2851,0.17466129000000002,0.06784,11.0,3.434948033064074,0.0,1.0,backyard,hunting_lodge/outdoor,room_type=backyard; scene=hunting_lodge/outdoor; condition=high defects; lighting=poor lighting; clutter=moderate clutter; furnishing=average furniture,201959.16
0.6773,0.2423,1.0,0.1545,1.0,0.0258,0.1627,2.33,0.6422,0.0,0.0218,0.0,0.0,0.4426,0.00780004,0.02513715,1.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,76755.93
0.2612,0.2253,1.0,0.2787,3.0,0.0927,0.1694,2.33,0.1373,0.0,0.1711,2.0,12.0119,0.258,0.14760797,0.04721178,5.0,2.565864323367925,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=poor lighting; clutter=moderate clutter; furnishing=average furniture,169849.03
0.4327,0.2656,1.0,0.1773,2.0,0.0455,0.2136,2.3333,0.3862,2.0,0.0927,1.0,5.3333,0.3422,0.05689926000000001,0.03787128000000001,3.0,1.8458214273265856,0.0,1.0,backyard,porch,room_type=backyard; scene=porch; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,134811.55
0.3964,0.159,1.0,0.2583,1.0,0.2408,0.1815,2.33,0.5989,0.0,0.0379,0.0,0.0,0.331,0.015201690000000002,0.04688144999999999,1.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,84200.1
0.5276,0.1558,1.0,0.2218,0.0,0.0591,0.1996,2.33,0.7047,2.0,0.0149,0.0,0.0,0.3726,0.0043999700000000004,0.044271279999999996,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=good lighting; clutter=low clutter; furnishing=minimal furniture,101779.9
0.3831,0.2771,1.0,0.1354,1.0,0.0293,0.1824,2.3186,0.2769,1.0,0.0996,1.0,5.3333,0.3291,0.07202076,0.02469696,2.0,1.8458214273265856,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,122862.71
0.5311,0.1369,1.0,0.1625,0.0,0.0002,0.1983,2.33,0.7421,0.0,0.0482,0.0,0.0,0.3799,0.01243078,0.03222375,0.0,0.0,0.0,1.0,backyard,beach_house,room_type=backyard; scene=beach_house; condition=medium defects; lighting=good lighting; clutter=low clutter; furnishing=minimal furniture,83726.15
0.4897,0.2367,0.666,0.1355,0.0,0.0003,0.2046,2.3214,0.5166,0.0,0.0475,0.0,0.0,0.469,0.022961500000000003,0.027723300000000003,0.0,0.0,0.0,1.0,backyard,driveway,room_type=backyard; scene=driveway; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,82033.86
0.4412,0.2159,1.0,0.3532,1.0,0.4215,0.2465,2.3059,0.5106,1.0,0.1715,1.0,7.1174,0.3586,0.0839321,0.0870638,2.0,2.0940099058552324,0.0,1.0,backyard,roof_garden,room_type=backyard; scene=roof_garden; condition=high defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,149524.41
0.5135,0.2176,1.0,0.2305,5.0,0.2009,0.2093,2.3186,0.5763,2.0,0.0978,5.0,26.6665,0.3794,0.04143785999999999,0.048243650000000006,10.0,3.320222295013958,0.0,1.0,backyard,porch,room_type=backyard; scene=porch; condition=high defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=average furniture,156697.03
0.5002,0.3064,1.0,0.2466,0.0,0.1477,0.208,2.3186,0.3875,1.0,0.1073,0.0,0.0,0.3655,0.06572125000000001,0.0512928,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,123978.24
0.6337,0.247,1.0,0.2628,1.0,0.0043,0.1815,2.33,0.6103,6.0,0.0556,0.0,0.0,0.4013,0.02166732,0.047698199999999996,1.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,139285.45
0.5752,0.2013,1.0,0.149,0.0,0.1444,0.187,2.32,0.65,0.0,0.0354,0.0,0.0,0.4147,0.01239,0.027863,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,82209.84
0.4659,0.2967,1.0,0.2045,1.0,0.0127,0.1747,2.3186,0.3632,0.0,0.0882,0.0,0.0,0.3467,0.05616576,0.03572615,1.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,110280.41
0.5275,0.2592,1.0,0.12,0.0,0.0149,0.2066,2.3186,0.5085,0.0,0.0717,0.0,0.0,0.3885,0.03524055,0.024791999999999998,0.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,88663.35
0.4772,0.2636,1.0,0.2743,2.0,0.1213,0.2107,2.3069,0.4476,0.0,0.0806,2.0,11.976,0.3482,0.044523440000000004,0.057795009999999994,4.0,2.563101497373057,0.0,1.0,backyard,garage/outdoor,room_type=backyard; scene=garage/outdoor; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=average furniture,147228.85
0.604,0.1371,1.0,0.1491,0.0,0.332,0.1646,2.31,0.773,0.0,0.028,0.0,0.0,0.445,0.006356,0.024541860000000002,0.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=good lighting; clutter=low clutter; furnishing=minimal furniture,80960.74
0.4392,0.2908,1.0,0.2237,1.0,0.1836,0.232,2.3186,0.3378,1.0,0.2041,0.0,0.0,0.3493,0.13515502000000001,0.051898400000000004,1.0,0.0,0.0,1.0,backyard,pavilion,room_type=backyard; scene=pavilion; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,138458.75
0.3372,0.1998,1.0,0.2117,13.0,0.0459,0.2024,2.33,0.4076,0.0,0.0974,11.0,66.0657,0.2971,0.05769976,0.04284808,24.0,4.205672735934712,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=poor lighting; clutter=high clutter; furnishing=furniture packed,163097.59
0.5866,0.2162,1.0,0.2193,0.0,0.0045,0.2084,2.33,0.6313,0.0,0.0495,0.0,0.0,0.3912,0.018250650000000004,0.04570212,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,96967.22
0.4115,0.2508,1.0,0.2196,1.0,0.0834,0.2016,2.3059,0.3907,1.0,0.0919,0.0,0.0,0.329,0.055994669999999996,0.044271359999999996,1.0,0.0,0.0,1.0,backyard,shed,room_type=backyard; scene=shed; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,111397.12
0.5468,0.2082,1.0,0.1903,6.0,0.0687,0.2118,2.32,0.6192,3.0,0.1054,6.0,36.1444,0.3875,0.04013632,0.040305539999999994,12.0,3.6148130195590547,0.0,1.0,backyard,porch,room_type=backyard; scene=porch; condition=high defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=furniture packed,166084.88
0.37,0.2311,0.6526,0.0686,7.0,0.0804,0.166,2.32,0.3754,0.0,0.0323,6.0,36.1444,0.4465,0.020174580000000004,0.0113876,13.0,3.6148130195590547,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=low defects; lighting=poor lighting; clutter=high clutter; furnishing=furniture packed,123871.37
0.5847,0.302,1.0,0.1825,0.0,0.4345,0.1834,2.31,0.4834,0.0,0.024,0.0,0.0,0.4408,0.012398399999999999,0.0334705,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,89523.63
0.511,0.1466,1.0,0.2103,8.0,0.0398,0.2294,2.31,0.7131,0.0,0.0574,4.0,24.169,0.3663,0.016468060000000003,0.04824282,12.0,3.225613078520866,0.0,1.0,backyard,porch,room_type=backyard; scene=porch; condition=medium defects; lighting=good lighting; clutter=high clutter; furnishing=average furniture,129182.45
0.4943,0.2451,1.0,0.2223,1.0,0.0062,0.1966,2.31,0.504,0.0,0.0577,0.0,0.0,0.3539,0.0286192,0.04370418,1.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,108056.53
0.4522,0.2372,1.0,0.2652,5.0,0.3202,0.1956,2.3186,0.4755,4.0,0.0659,5.0,26.6665,0.3598,0.03456455,0.051873119999999995,10.0,3.320222295013958,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=medium defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=average furniture,162836.75
0.3706,0.1928,1.0,0.2697,1.0,0.0879,0.208,2.32,0.4798,0.0,0.1377,0.0,0.0,0.3031,0.07163154,0.0560976,1.0,0.0,0.0,1.0,backyard,hunting_lodge/outdoor,room_type=backyard; scene=hunting_lodge/outdoor; condition=high defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,116748.06
0.4506,0.2352,1.0,0.1871,0.0,0.1375,0.2015,2.3186,0.4781,1.0,0.0149,0.0,0.0,0.3566,0.007776310000000001,0.03770065,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,95022.68
0.4655,0.1731,1.0,0.185,0.0,0.1173,0.214,2.3061,0.6283,0.0,0.066,0.0,0.0,0.361,0.024532200000000004,0.03959,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,90583.31
0.497,0.2671,1.0,0.2167,7.0,0.3229,0.2058,2.3069,0.4626,2.0,0.07,5.0,29.9399,0.3877,0.037618000000000006,0.04459686,12.0,3.4320466130776413,0.0,1.0,backyard,lawn,room_type=backyard; scene=lawn; condition=medium defects; lighting=acceptable lighting; clutter=high clutter; furnishing=average furniture,144796.46
0.4914,0.2872,1.0,0.1222,7.0,0.087,0.1903,2.3333,0.4155,1.0,0.0548,4.0,21.3332,0.3808,0.0320306,0.02325466,11.0,3.1060743605557812,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=medium defects; lighting=poor lighting; clutter=high clutter; furnishing=average furniture,147911.93
0.3039,0.2299,1.0,0.2372,0.0,0.1194,0.1764,2.3059,0.2435,0.0,0.0649,0.0,0.0,0.2861,0.04909685,0.04184208,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,116726.41
0.4886,0.2386,1.0,0.1856,14.0,0.003,0.2221,2.31,0.5116,0.0,0.1522,12.0,72.5071,0.3586,0.07433448,0.041221759999999996,26.0,4.297382000192899,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=acceptable lighting; clutter=high clutter; furnishing=furniture packed,167760.57
0.4544,0.2712,1.0,0.2423,1.0,0.1725,0.2093,2.32,0.4032,1.0,0.1466,0.0,0.0,0.3505,0.08749088000000001,0.050713390000000004,1.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,122478.13
0.556,0.2633,1.0,0.1385,0.0,0.3361,0.1753,2.3186,0.5265,0.0,0.0219,0.0,0.0,0.4283,0.010369650000000001,0.024279050000000003,0.0,0.0,0.0,1.0,backyard,schoolhouse,room_type=backyard; scene=schoolhouse; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,87953.11
0.4001,0.2403,1.0,0.2969,1.0,0.4495,0.2076,2.33,0.3995,3.0,0.1499,0.0,0.0,0.3456,0.09001495000000001,0.06163644,1.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,138013.54
0.5064,0.208,1.0,0.2078,2.0,0.0426,0.1979,2.3186,0.5894,1.0,0.0685,2.0,10.6666,0.3653,0.0281261,0.04112362,4.0,2.456730058519263,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=average furniture,126584.34
0.4368,0.3423,0.3948,0.0523,6.0,0.0985,0.1437,2.3186,0.2163,0.0,0.0322,4.0,21.3332,0.5556,0.025235140000000003,0.0075155099999999996,10.0,3.1060743605557812,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=poor lighting; clutter=moderate clutter; furnishing=average furniture,141223.37
0.6161,0.1596,1.0,0.3542,0.0,0.0055,0.1753,2.3186,0.741,2.0,0.0313,0.0,0.0,0.387,0.008106700000000001,0.06209126000000001,0.0,0.0,0.0,1.0,backyard,kennel/outdoor,room_type=backyard; scene=kennel/outdoor; condition=low defects; lighting=good lighting; clutter=low clutter; furnishing=minimal furniture,102836.18
0.6635,0.2412,1.0,0.1928,0.0,0.0068,0.1622,2.3186,0.6365,4.0,0.0133,0.0,0.0,0.4275,0.00483455,0.03127216,0.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,112520.12
0.5248,0.2319,1.0,0.2642,1.0,0.0103,0.1927,2.3186,0.5582,3.0,0.0464,1.0,5.3333,0.3581,0.020499519999999997,0.05091134,2.0,1.8458214273265856,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,143408.69
0.5568,0.2194,1.0,0.2048,6.0,0.0097,0.2418,2.31,0.606,5.0,0.0611,6.0,36.2536,0.3827,0.024073400000000002,0.04952064,12.0,3.6177485844511112,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=medium defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=furniture packed,138449.06
0.539,0.1797,1.0,0.173,0.0,0.0047,0.2055,2.33,0.6667,2.0,0.035,0.0,0.0,0.3815,0.011665500000000002,0.03555149999999999,0.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,87881.99
0.4451,0.1563,1.0,0.2739,11.0,0.1025,0.2191,2.32,0.6488,1.0,0.1389,10.0,60.2406,0.3335,0.048781679999999994,0.060011489999999994,21.0,4.11481036825945,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=acceptable lighting; clutter=high clutter; furnishing=furniture packed,171643.24
0.5081,0.2259,1.0,0.2318,10.0,0.0116,0.1942,2.3186,0.5554,0.0,0.0848,7.0,37.3331,0.3581,0.03770208,0.04501556,17.0,3.646313752720093,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=high defects; lighting=acceptable lighting; clutter=high clutter; furnishing=furniture packed,156239.48
0.629,0.263,1.0,0.1253,7.0,0.0303,0.1775,2.32,0.5819,2.0,0.0683,5.0,30.1203,0.4296,0.028556230000000002,0.022240749999999997,12.0,3.437860339366553,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=medium defects; lighting=acceptable lighting; clutter=high clutter; furnishing=average furniture,137029.97
0.5722,0.2128,1.0,0.1545,0.0,0.3291,0.2059,2.32,0.628,1.0,0.0161,0.0,0.0,0.4309,0.0059892,0.03181155,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,98519.75
0.7081,0.2135,1.0,0.1976,4.0,0.0121,0.1831,2.33,0.6985,1.0,0.0203,4.0,24.0239,0.4449,0.0061204499999999995,0.03618056,8.0,3.219831368191233,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=average furniture,122550.85
0.5687,0.1866,1.0,0.2527,3.0,0.3216,0.1934,2.3186,0.6718,0.0,0.0345,0.0,0.0,0.4091,0.011322900000000002,0.048872179999999994,3.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=minimal furniture,95780.94
0.5061,0.2923,1.0,0.211,0.0,0.0667,0.1763,2.3304,0.4224,0.0,0.058,0.0,0.0,0.3669,0.033500800000000004,0.037199300000000005,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,103030.64
0.4827,0.2888,1.0,0.172,4.0,0.0353,0.1864,2.31,0.4016,1.0,0.0666,4.0,24.169,0.3622,0.039853440000000004,0.0320608,8.0,3.225613078520866,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=medium defects; lighting=poor lighting; clutter=moderate clutter; furnishing=average furniture,132758.58
0.4359,0.1791,1.0,0.1632,9.0,0.0041,0.2231,2.33,0.5891,1.0,0.1588,6.0,36.0358,0.3421,0.06525092,0.03640992,15.0,3.6118850124200157,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=acceptable lighting; clutter=high clutter; furnishing=furniture packed,163426.93
0.4927,0.3036,1.0,0.165,0.0,0.3993,0.1845,2.3069,0.3839,0.0,0.0654,0.0,0.0,0.404,0.04029294,0.0304425,0.0,0.0,0.0,1.0,backyard,rice_paddy,room_type=backyard; scene=rice_paddy; condition=medium defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,102822.39
0.3947,0.262,1.0,0.1712,0.0,0.1459,0.1946,2.3186,0.3362,1.0,0.0798,0.0,0.0,0.3382,0.052971239999999996,0.033315519999999994,0.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=medium defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,111180.98
0.5843,0.2629,1.0,0.2051,0.0,0.0001,0.1843,2.3186,0.55,3.0,0.1597,0.0,0.0,0.3927,0.071865,0.03779993,0.0,0.0,0.0,1.0,backyard,doorway/outdoor,room_type=backyard; scene=doorway/outdoor; condition=high defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,117120.88
0.6292,0.2456,1.0,0.1549,11.0,0.0433,0.1859,2.32,0.6097,0.0,0.0346,8.0,48.1925,0.425,0.013504379999999998,0.028795910000000004,19.0,3.8957411728538633,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=low defects; lighting=acceptable lighting; clutter=high clutter; furnishing=furniture packed,129143.46
0.6797,0.2307,1.0,0.2313,1.0,0.0252,0.1761,2.33,0.6606,0.0,0.0384,0.0,0.0,0.4281,0.01303296,0.04073193,1.0,0.0,0.0,1.0,backyard,garage/outdoor,room_type=backyard; scene=garage/outdoor; condition=low defects; lighting=acceptable lighting; clutter=low clutter; furnishing=minimal furniture,88871.02
0.5335,0.2717,1.0,0.236,18.0,0.1287,0.2335,2.3,0.4906,2.0,0.0992,15.0,90.9085,0.3791,0.050532480000000005,0.055106,33.0,4.52079351692349,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=acceptable lighting; clutter=high clutter; furnishing=furniture packed,197094.32
0.4012,0.2262,1.0,0.2808,11.0,0.1519,0.2174,2.33,0.4361,1.0,0.1129,8.0,48.0478,0.3195,0.06366431,0.061045920000000004,19.0,3.8927953328138414,0.0,1.0,backyard,patio,room_type=backyard; scene=patio; condition=high defects; lighting=poor lighting; clutter=high clutter; furnishing=furniture packed,161770.12
0.4825,0.2746,1.0,0.2579,1.0,0.1474,0.2106,2.3186,0.4309,0.0,0.1565,0.0,0.0,0.3562,0.08906415,0.054313740000000006,1.0,0.0,0.0,1.0,backyard,yard,room_type=backyard; scene=yard; condition=high defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,115807.49
0.5437,0.2126,1.0,0.2066,4.0,0.2998,0.194,2.3186,0.609,0.0,0.0616,1.0,5.3333,0.4061,0.024085600000000002,0.0400804,5.0,1.8458214273265856,0.0,1.0,backyard,pavilion,room_type=backyard; scene=pavilion; condition=medium defects; lighting=acceptable lighting; clutter=moderate clutter; furnishing=minimal furniture,101605.32
0.3791,0.2501,1.0,0.1258,0.0,0.039,0.1873,2.32,0.3403,2.0,0.0393,0.0,0.0,0.3304,0.025926209999999998,0.023562339999999998,0.0,0.0,0.0,1.0,backyard,manufactured_home,room_type=backyard; scene=manufactured_home; condition=low defects; lighting=poor lighting; clutter=low clutter; furnishing=minimal furniture,103713.82
