filename,location,scene_category,brightness,contrast,blur_score,edge_density,num_objects,green_ratio,color_entropy,wall_floor_ratio,light_uniformity,num_windows,defect_score,furniture_count,furniture_density,aesthetic_score,predicted_repair_cost,predicted_repair_cost_label,predicted_repair
backyard (1).jpeg,backyard,yard,0.5195,0.2255,1.0,0.2496,0,0.0683,0.1904,2.3186,0.5659,2,0.0319,0,0.0,0.3647,101766.45,101 766 RUB,Косметический
backyard (1).jpg,backyard,yard,0.3589,0.258,1.0,0.1927,2,0.0098,0.1873,2.3186,0.281,3,0.1113,1,5.3333,0.306,144908.57,144 909 RUB,Косметический
backyard (10).jpeg,backyard,yard,0.4591,0.3703,1.0,0.098,1,0.1583,0.1325,2.3186,0.1934,0,0.0209,0,0.0,0.3799,98117.32,98 117 RUB,Косметический
backyard (10).jpg,backyard,pavilion,0.4668,0.182,1.0,0.168,10,0.0202,0.2146,2.33,0.6101,0,0.0653,0,0.0,0.3552,107807.38,107 807 RUB,Косметический
backyard (100).jpeg,backyard,manufactured_home,0.4426,0.2856,1.0,0.1504,5,0.0268,0.2086,2.3186,0.3548,2,0.0589,3,15.9999,0.3496,137487.39,137 487 RUB,Косметический
backyard (100).jpg,backyard,manufactured_home,0.5732,0.2824,1.0,0.1506,0,0.0696,0.1789,2.33,0.5073,0,0.0624,0,0.0,0.4061,87716.12,87 716 RUB,Без ремонта
backyard (101).jpeg,backyard,porch,0.5439,0.236,1.0,0.1178,0,0.0747,0.1918,2.33,0.5661,3,0.0468,0,0.0,0.4015,106137.56,106 138 RUB,Косметический
backyard (101).jpg,backyard,hunting_lodge/outdoor,0.3273,0.2051,1.0,0.32,6,0.1417,0.212,2.33,0.3733,1,0.2787,5,30.0298,0.2851,183210.91,183 211 RUB,Капитальный
backyard (102).jpeg,backyard,manufactured_home,0.6773,0.2423,1.0,0.1545,1,0.0258,0.1627,2.33,0.6422,0,0.0218,0,0.0,0.4426,80859.52,80 860 RUB,Без ремонта
backyard (102).jpg,backyard,patio,0.2612,0.2253,1.0,0.2787,3,0.0927,0.1694,2.33,0.1373,0,0.1711,2,12.0119,0.258,167260.3,167 260 RUB,Косметический
backyard (103).jpeg,backyard,porch,0.4327,0.2656,1.0,0.1773,2,0.0455,0.2136,2.3333,0.3862,2,0.0927,1,5.3333,0.3422,133937.07,133 937 RUB,Косметический
backyard (103).jpg,backyard,yard,0.3964,0.159,1.0,0.2583,1,0.2408,0.1815,2.33,0.5989,0,0.0379,0,0.0,0.331,87999.05,87 999 RUB,Без ремонта
backyard (104).jpeg,backyard,yard,0.5276,0.1558,1.0,0.2218,0,0.0591,0.1996,2.33,0.7047,2,0.0149,0,0.0,0.3726,91751.72,91 752 RUB,Косметический
backyard (104).jpg,backyard,manufactured_home,0.3831,0.2771,1.0,0.1354,1,0.0293,0.1824,2.3186,0.2769,1,0.0996,1,5.3333,0.3291,123393.88,123 394 RUB,Косметический
