filename,location,scene_category,brightness,contrast,blur_score,edge_density,num_objects,green_ratio,color_entropy,wall_floor_ratio,light_uniformity,num_windows,defect_score,furniture_count,furniture_density,aesthetic_score
backyard (1).jpeg,backyard,yard,0.5195,0.2255,1.0,0.2496,0,0.0683,0.1904,2.3186,0.5659,2,0.0319,0,0.0,0.3647
backyard (1).jpg,backyard,yard,0.3589,0.258,1.0,0.1927,2,0.0098,0.1873,2.3186,0.281,3,0.1113,1,5.3333,0.306
backyard (10).jpeg,backyard,yard,0.4591,0.3703,1.0,0.098,1,0.1583,0.1325,2.3186,0.1934,0,0.0209,0,0.0,0.3799
backyard (10).jpg,backyard,pavilion,0.4668,0.182,1.0,0.168,10,0.0202,0.2146,2.33,0.6101,0,0.0653,0,0.0,0.3552
backyard (100).jpeg,backyard,manufactured_home,0.4426,0.2856,1.0,0.1504,5,0.0268,0.2086,2.3186,0.3548,2,0.0589,3,15.9999,0.3496
backyard (100).jpg,backyard,manufactured_home,0.5732,0.2824,1.0,0.1506,0,0.0696,0.1789,2.33,0.5073,0,0.0624,0,0.0,0.4061
backyard (101).jpeg,backyard,porch,0.5439,0.236,1.0,0.1178,0,0.0747,0.1918,2.33,0.5661,3,0.0468,0,0.0,0.4015
backyard (101).jpg,backyard,hunting_lodge/outdoor,0.3273,0.2051,1.0,0.32,6,0.1417,0.212,2.33,0.3733,1,0.2787,5,30.0298,0.2851
backyard (102).jpeg,backyard,manufactured_home,0.6773,0.2423,1.0,0.1545,1,0.0258,0.1627,2.33,0.6422,0,0.0218,0,0.0,0.4426
backyard (102).jpg,backyard,patio,0.2612,0.2253,1.0,0.2787,3,0.0927,0.1694,2.33,0.1373,0,0.1711,2,12.0119,0.258
backyard (103).jpeg,backyard,porch,0.4327,0.2656,1.0,0.1773,2,0.0455,0.2136,2.3333,0.3862,2,0.0927,1,5.3333,0.3422
backyard (103).jpg,backyard,yard,0.3964,0.159,1.0,0.2583,1,0.2408,0.1815,2.33,0.5989,0,0.0379,0,0.0,0.331
backyard (104).jpeg,backyard,yard,0.5276,0.1558,1.0,0.2218,0,0.0591,0.1996,2.33,0.7047,2,0.0149,0,0.0,0.3726
backyard (104).jpg,backyard,manufactured_home,0.3831,0.2771,1.0,0.1354,1,0.0293,0.1824,2.3186,0.2769,1,0.0996,1,5.3333,0.3291
backyard (105).jpeg,backyard,beach_house,0.5311,0.1369,1.0,0.1625,0,0.0002,0.1983,2.33,0.7421,0,0.0482,0,0.0,0.3799
backyard (105).jpg,backyard,driveway,0.4897,0.2367,0.666,0.1355,0,0.0003,0.2046,2.3214,0.5166,0,0.0475,0,0.0,0.469
backyard (106).jpeg,backyard,roof_garden,0.4412,0.2159,1.0,0.3532,1,0.4215,0.2465,2.3059,0.5106,1,0.1715,1,7.1174,0.3586
backyard (106).jpg,backyard,porch,0.5135,0.2176,1.0,0.2305,5,0.2009,0.2093,2.3186,0.5763,2,0.0978,5,26.6665,0.3794
backyard (107).jpeg,backyard,yard,0.5002,0.3064,1.0,0.2466,0,0.1477,0.208,2.3186,0.3875,1,0.1073,0,0.0,0.3655
backyard (107).jpg,backyard,manufactured_home,0.6337,0.247,1.0,0.2628,1,0.0043,0.1815,2.33,0.6103,6,0.0556,0,0.0,0.4013
backyard (108).jpeg,backyard,yard,0.5752,0.2013,1.0,0.149,0,0.1444,0.187,2.32,0.65,0,0.0354,0,0.0,0.4147
backyard (108).jpg,backyard,manufactured_home,0.4659,0.2967,1.0,0.2045,1,0.0127,0.1747,2.3186,0.3632,0,0.0882,0,0.0,0.3467
backyard (109).jpeg,backyard,manufactured_home,0.5275,0.2592,1.0,0.12,0,0.0149,0.2066,2.3186,0.5085,0,0.0717,0,0.0,0.3885
backyard (109).jpg,backyard,garage/outdoor,0.4772,0.2636,1.0,0.2743,2,0.1213,0.2107,2.3069,0.4476,0,0.0806,2,11.976,0.3482
backyard (11).jpeg,backyard,manufactured_home,0.604,0.1371,1.0,0.1491,0,0.332,0.1646,2.31,0.773,0,0.028,0,0.0,0.445
