model,feature_set,dimensionality_reduction,params,val_mae,val_rmse,val_r2,val_mape_percent,test_mae,test_rmse,test_r2,test_mape_percent
HistGradientBoosting_engineered,engineered_features,none,"{""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",7972.645511274137,10079.142553467125,0.9394489362733776,6.588673560803726,7702.731887829522,9614.223629715885,0.9455255716711713,6.214456452583889
VotingEnsemble_engineered,engineered_features,none,{},7995.418366346343,10141.352819621234,0.9386991655953801,6.6041149252884335,7869.501846073592,9964.276415981774,0.9414865405720924,6.351548719591305
HistGradientBoosting_engineered,engineered_features,none,"{""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",8017.324550546801,10114.445882619953,0.9390240196083307,6.625915065191242,7813.522769569425,9742.833876274033,0.944058406013016,6.3209046282011805
ExtraTrees_engineered,engineered_features,none,"{""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 80}",8105.448190916173,10251.024764810782,0.9373661414622543,6.663560621565168,8016.4517942938965,10205.551903194118,0.9386185372849797,6.447612481543945
ExtraTrees_engineered,engineered_features,none,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 80}",8110.6671133176915,10303.830177759635,0.936719196312571,6.685766378581214,8078.140071414012,10273.040167865543,0.9378040344539522,6.532110897132783
Ridge_engineered,engineered_features,none,"{""alpha"": 30.0}",8205.31205272233,10255.500347048026,0.9373114378232612,6.707323224571306,7805.438836182515,9831.823849312883,0.9430318101874555,6.231197802107732
Ridge_engineered,engineered_features,none,"{""alpha"": 10.0}",8216.231358081708,10252.469175525412,0.9373484894923936,6.724779078372031,7794.2971088438835,9807.34013843132,0.9433151871108223,6.231515353112514
Ridge_engineered,engineered_features,none,"{""alpha"": 1.0}",8298.212640877167,10324.321050758599,0.9364672573307291,6.800999778525552,7844.598244068905,9830.386552556747,0.9430484651256879,6.283162769833702
RandomForest_engineered,engineered_features,none,"{""max_depth"": 16, ""min_samples_leaf"": 2, ""n_estimators"": 80}",8728.837376189347,11054.288268597098,0.92716566268717,7.185780644581587,8644.618139931874,11152.02176533271,0.9267054878362712,6.930746166951016
RandomForest_engineered,engineered_features,none,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 80}",8808.85993609395,11163.70200766682,0.9257167199117579,7.228468830264191,8736.135234991329,11282.859799820546,0.9249755837107324,6.998749745542165
LinearRegression_baseline,baseline_no_feature_engineering,none,{},9114.518126110037,11509.759099954737,0.9210400127553523,7.337869977717693,8756.302606783032,10954.909974278531,0.9292735487229385,6.939281895224261
KNN_engineered,engineered_features,none,"{""n_neighbors"": 15, ""weights"": ""distance""}",9529.734351973737,12013.157024766408,0.9139820854229692,7.59229695448103,9265.651240280715,11803.282801548654,0.9178949504776395,7.301852370672117
Ridge_PCA_engineered,engineered_features,PCA(10),{},9549.862552594312,12071.001801369188,0.913151718134161,7.695800025147776,9530.711626933413,12027.817438644397,0.9147414588608654,7.526533485444318
KNN_engineered,engineered_features,none,"{""n_neighbors"": 7, ""weights"": ""distance""}",9746.639362313024,12185.3352023939,0.9114987177977222,7.785959847865656,9394.181092958679,11869.522119832045,0.9169708274010641,7.451246571466608
DummyRegressor_mean,baseline_no_feature_engineering,none,{},33724.12361340321,41005.97289176194,-0.0022333317724687607,27.39655023429445,34009.099257740905,41206.81658492488,-0.000696477466445744,28.080113963019247
