feature,mae_increase_mean,mae_increase_std
furniture_density,9990.384160803103,746.8092292349439
clutter_score,9643.342723412494,602.0658106282059
is_wet_room,5742.878765861503,387.50055058643386
num_windows,4144.363610306975,93.65866626344443
low_light_defect_interaction,3236.8330950366953,103.2407575993404
location,2284.6492287883893,226.2522621136997
is_outdoor,1427.4763531850274,80.06733026898009
light_uniformity,790.5304623196405,69.75520258313158
aesthetic_score,738.866347882592,79.25481298145192
defect_score,243.6976750146905,15.496613677915164
furniture_count,162.71013412573066,30.063619908650434
log_furniture_density,111.6886662277886,15.681102556702129
edge_density,92.56674730391987,27.121529053937895
contrast,76.15814978087455,33.108709485836805
color_entropy,47.348287418945255,19.981099235489545
green_ratio,35.73928802286682,18.031225206132792
brightness,30.12914550885798,42.3798361334741
num_objects,23.656522271511314,23.38737727766508
blur_score,11.118616557980385,9.400247773602807
scene_category,11.115963974389706,11.933242893669426
__description_text__,0.0,0.0
wall_floor_ratio,-9.766705762425953,7.565473811453266
visual_complexity,-23.26304327995058,16.451218412522746
